,title,year_publication,budget,revenue,runtime,genre_ids,original_language,popularity,id_movie,vote_average,vote_count
248,die hard,1988,28000000,140767956.0,131.0,"[28, 53]",en,31.96,562,7.766,9892.0
249,the age of innocence,1993,34000000,32255440.0,139.0,"[18, 10749]",en,9.763,10436,7.0,910.0
250,dead man,1995,9000000,103800000.0,121.0,"[18, 14, 37]",en,9.769,922,7.284,1345.0
251,princess mononoke,1997,26500000,159414369.0,134.0,"[12, 14, 16]",ja,32.776,128,8.341,6942.0
252,la haine,1995,2600000,15300000.0,98.0,[18],fr,19.525,406,8.074,3424.0
253,doctor zhivago,1965,11000000,111858363.0,200.0,"[18, 10749, 10752]",en,16.513,907,7.554,976.0
254,punch-drunk love,2002,25000000,24665649.0,96.0,"[18, 35, 53, 10749]",en,16.761,8051,7.136,1987.0
255,easy rider,1969,400000,60000000.0,95.0,"[12, 18]",en,20.052,624,7.083,1730.0
256,laura,1944,1020000,2000000.0,88.0,"[18, 9648]",en,9.076,1939,7.658,673.0
257,ninotchka,1939,1365000,2279000.0,110.0,"[35, 10749]",en,10.477,1859,7.533,322.0
258,kagemusha,1980,6000000,4000000.0,180.0,"[28, 18, 36, 10752]",ja,17.304,11953,7.812,546.0
259,butch cassidy and the sundance kid,1969,6000000,102308889.0,111.0,"[37, 18, 80]",en,22.135,642,7.615,1889.0
260,"crouching tiger, hidden dragon",2000,17000000,213525736.0,120.0,"[12, 18, 28, 10749]",zh,21.197,146,7.4,2802.0
261,tale of tales,1979,12000000,5500277.0,134.0,"[10749, 14, 27]",it,13.921,314405,6.381,1510.0
262,forrest gump,1994,55000000,677387716.0,142.0,"[35, 18, 10749]",en,55.277,13,8.481,24603.0
263,the french connection,1971,1800000,41158757.0,104.0,"[28, 80, 53]",en,13.447,1051,7.54,1531.0
